context,cue_idx,hue,ori,hue_diff,ori_diff,iti_trs,trial_time_tr
ori,0,red,left,hard,hard,1,0.0
ori,1,green,left,easy,easy,2,7.0
hue,0,green,left,easy,hard,1,15.0
ori,0,red,right,hard,hard,1,22.0
hue,0,green,left,hard,easy,0,29.0
ori,1,green,left,hard,hard,0,35.0
hue,1,green,right,hard,hard,8,41.0
hue,0,red,left,easy,easy,4,55.0
hue,0,red,left,hard,easy,0,65.0
ori,1,red,left,easy,hard,0,71.0
hue,1,red,right,easy,hard,1,77.0
hue,0,red,right,easy,easy,0,84.0
hue,1,red,left,hard,hard,0,90.0
ori,1,red,left,hard,hard,1,96.0
hue,0,green,left,easy,easy,3,103.0
ori,1,red,right,easy,easy,3,112.0
ori,1,green,right,easy,easy,7,121.0
hue,0,red,right,hard,easy,4,134.0
hue,0,green,right,easy,easy,3,144.0
hue,1,red,right,easy,easy,2,153.0
ori,0,red,left,easy,hard,0,161.0
ori,1,red,right,hard,easy,4,167.0
ori,1,red,right,easy,hard,6,177.0
hue,0,green,right,hard,hard,0,189.0
hue,1,red,left,easy,hard,3,195.0
ori,0,red,right,easy,hard,2,204.0
hue,1,green,right,easy,easy,0,212.0
hue,1,green,left,easy,easy,9,218.0
hue,1,green,right,hard,easy,2,233.0
hue,1,red,left,hard,easy,2,241.0
hue,1,green,left,hard,easy,0,249.0
ori,0,green,right,hard,hard,1,255.0
ori,0,red,left,easy,easy,6,262.0
ori,0,green,left,easy,easy,1,274.0
ori,0,green,left,hard,easy,1,281.0
hue,0,green,right,hard,easy,0,288.0
ori,1,green,left,easy,hard,2,294.0
hue,1,red,left,easy,easy,1,302.0
ori,0,red,left,hard,easy,0,309.0
ori,0,red,right,hard,easy,3,315.0
ori,1,green,left,hard,easy,2,324.0
hue,0,red,right,easy,hard,1,332.0
ori,0,green,right,easy,easy,5,339.0
hue,0,red,right,hard,hard,2,350.0
ori,0,green,left,hard,hard,0,358.0
hue,0,red,left,easy,hard,1,364.0
hue,1,green,left,hard,hard,3,371.0
hue,0,red,left,hard,hard,4,380.0
ori,1,red,left,hard,easy,0,390.0
ori,1,red,right,hard,hard,2,396.0
ori,1,green,right,hard,hard,1,404.0
hue,1,red,right,hard,easy,0,411.0
ori,0,green,left,easy,hard,5,417.0
ori,1,green,right,hard,easy,0,428.0
hue,1,green,right,easy,hard,0,434.0
ori,0,green,right,hard,easy,0,440.0
ori,0,green,right,easy,hard,1,446.0
ori,0,red,right,easy,easy,2,453.0
ori,1,red,left,easy,easy,0,461.0
hue,1,red,right,hard,hard,0,467.0
hue,1,green,left,easy,hard,1,473.0
hue,0,green,right,easy,hard,5,480.0
hue,0,green,left,hard,hard,0,491.0
ori,1,green,right,easy,hard,0,497.0
