context,cue_idx,hue,ori,hue_diff,ori_diff,iti_trs,trial_time_tr
ori,1,green,right,easy,hard,8,0.0
hue,0,red,left,hard,easy,0,14.0
hue,1,green,left,hard,hard,0,20.0
hue,0,green,left,hard,easy,0,26.0
ori,0,green,left,hard,hard,0,32.0
hue,0,red,left,easy,easy,1,38.0
ori,0,green,right,hard,hard,0,45.0
hue,0,green,right,easy,easy,6,51.0
ori,1,red,right,easy,hard,4,63.0
ori,1,red,right,easy,easy,1,73.0
ori,0,red,left,hard,hard,1,80.0
ori,0,green,right,easy,hard,2,87.0
ori,1,green,right,hard,hard,0,95.0
hue,1,green,right,hard,easy,0,101.0
ori,0,green,left,easy,easy,1,107.0
ori,0,red,left,easy,hard,3,114.0
ori,0,red,right,hard,hard,0,123.0
hue,1,red,left,easy,easy,2,129.0
hue,0,red,right,easy,easy,0,137.0
hue,0,green,right,hard,easy,3,143.0
ori,1,red,left,hard,easy,0,152.0
ori,0,green,left,hard,easy,2,158.0
ori,1,green,left,hard,easy,3,166.0
ori,0,green,right,easy,easy,6,175.0
hue,1,red,left,easy,hard,2,187.0
hue,1,red,left,hard,easy,1,195.0
hue,1,red,right,easy,easy,0,202.0
ori,1,red,left,hard,hard,1,208.0
hue,0,green,left,easy,hard,0,215.0
hue,0,red,right,hard,easy,5,221.0
ori,1,green,right,hard,easy,0,232.0
ori,1,green,right,easy,easy,4,238.0
hue,1,green,left,easy,easy,2,248.0
hue,0,red,right,hard,hard,3,256.0
ori,1,green,left,easy,hard,2,265.0
hue,1,green,right,easy,hard,1,273.0
hue,0,green,right,hard,hard,5,280.0
ori,0,red,right,easy,easy,0,291.0
ori,0,red,right,easy,hard,1,297.0
hue,1,red,right,easy,hard,7,304.0
hue,1,red,right,hard,easy,0,317.0
ori,0,green,left,easy,hard,0,323.0
ori,0,green,right,hard,easy,0,329.0
hue,1,green,left,hard,easy,2,335.0
ori,1,red,right,hard,easy,2,343.0
hue,1,green,right,hard,hard,0,351.0
ori,0,red,left,hard,easy,0,357.0
ori,1,red,right,hard,hard,3,363.0
hue,1,red,right,hard,hard,1,372.0
hue,1,green,left,easy,hard,0,379.0
hue,1,red,left,hard,hard,4,385.0
hue,0,red,left,hard,hard,0,395.0
ori,1,green,left,hard,hard,2,401.0
ori,0,red,left,easy,easy,5,409.0
ori,0,red,right,hard,easy,0,420.0
hue,0,green,left,easy,easy,1,426.0
ori,1,red,left,easy,easy,2,433.0
hue,0,red,right,easy,hard,4,441.0
hue,1,green,right,easy,easy,9,451.0
hue,0,red,left,easy,hard,1,466.0
hue,0,green,left,hard,hard,3,473.0
hue,0,green,right,easy,hard,1,482.0
ori,1,red,left,easy,hard,1,489.0
ori,1,green,left,easy,easy,1,496.0
