context,cue_idx,hue,ori,hue_diff,ori_diff,iti_trs,trial_time_tr
hue,1,red,left,hard,hard,1,0.0
hue,0,green,right,hard,easy,1,7.0
hue,1,green,left,hard,hard,5,14.0
hue,0,red,left,hard,easy,1,25.0
ori,0,green,left,hard,easy,0,32.0
hue,1,green,right,easy,easy,2,38.0
ori,1,green,left,easy,hard,0,46.0
hue,1,red,left,easy,hard,2,52.0
hue,1,green,left,easy,easy,0,60.0
ori,0,green,left,hard,hard,2,66.0
ori,1,green,right,easy,easy,0,74.0
hue,0,red,right,hard,easy,0,80.0
ori,0,green,left,easy,hard,0,86.0
ori,1,red,right,easy,hard,0,92.0
hue,0,red,left,hard,hard,0,98.0
ori,0,green,right,hard,easy,3,104.0
ori,0,green,right,easy,easy,9,113.0
hue,0,green,left,hard,easy,2,128.0
hue,0,green,left,easy,hard,0,136.0
hue,1,green,left,hard,easy,3,142.0
ori,1,red,left,hard,hard,6,151.0
ori,0,green,left,easy,easy,0,163.0
ori,0,red,right,easy,hard,0,169.0
ori,0,red,left,easy,easy,2,175.0
ori,1,green,left,easy,easy,1,183.0
hue,1,red,left,hard,easy,8,190.0
hue,0,red,right,hard,hard,0,204.0
ori,0,green,right,hard,hard,4,210.0
ori,1,green,left,hard,hard,3,220.0
hue,1,green,right,easy,hard,0,229.0
hue,0,red,right,easy,hard,0,235.0
hue,0,green,left,hard,hard,4,241.0
hue,0,green,right,hard,hard,0,251.0
hue,0,red,left,easy,easy,1,257.0
ori,1,red,right,hard,easy,1,264.0
hue,0,red,right,easy,easy,0,271.0
ori,1,red,right,easy,easy,0,277.0
ori,0,red,right,easy,easy,6,283.0
hue,0,green,right,easy,hard,1,295.0
ori,1,green,right,hard,easy,0,302.0
ori,0,red,right,hard,hard,2,308.0
hue,1,red,right,hard,hard,7,316.0
ori,0,red,left,hard,easy,1,329.0
ori,1,green,right,easy,hard,3,336.0
ori,1,green,left,hard,easy,1,345.0
hue,1,red,right,easy,hard,1,352.0
ori,0,red,right,hard,easy,1,359.0
ori,0,green,right,easy,hard,2,366.0
ori,0,red,left,hard,hard,4,374.0
hue,1,red,right,easy,easy,2,384.0
ori,1,red,left,easy,easy,2,392.0
ori,1,red,left,hard,easy,0,400.0
hue,1,green,left,easy,hard,0,406.0
hue,0,green,right,easy,easy,0,412.0
hue,1,red,right,hard,easy,1,418.0
hue,1,red,left,easy,easy,5,425.0
hue,1,green,right,hard,easy,3,436.0
hue,1,green,right,hard,hard,3,445.0
ori,1,red,right,hard,hard,1,454.0
hue,0,red,left,easy,hard,4,461.0
ori,1,red,left,easy,hard,0,471.0
ori,1,green,right,hard,hard,5,477.0
ori,0,red,left,easy,hard,2,488.0
hue,0,green,left,easy,easy,1,496.0
