context,cue_idx,hue,ori,hue_diff,ori_diff,iti_trs,trial_time_tr
hue,0,green,left,easy,easy,0,0.0
ori,1,red,left,easy,hard,4,6.0
hue,0,green,right,easy,hard,3,16.0
ori,0,green,right,hard,easy,1,25.0
ori,1,green,left,hard,hard,0,32.0
ori,1,green,right,hard,easy,0,38.0
ori,0,red,right,hard,easy,1,44.0
hue,1,green,right,hard,hard,0,51.0
ori,0,green,left,hard,hard,2,57.0
hue,1,green,left,easy,easy,7,65.0
ori,1,green,right,hard,hard,0,78.0
ori,0,green,right,easy,easy,9,84.0
hue,0,red,right,easy,hard,2,99.0
ori,1,red,right,easy,hard,0,107.0
ori,1,red,left,hard,easy,1,113.0
ori,0,red,left,easy,hard,0,120.0
hue,1,red,right,easy,hard,3,126.0
ori,1,green,right,easy,easy,8,135.0
ori,1,green,right,easy,hard,6,149.0
ori,0,red,left,hard,hard,5,161.0
hue,1,red,left,hard,easy,0,172.0
ori,1,red,right,easy,easy,5,178.0
ori,1,green,left,easy,easy,1,189.0
hue,0,green,left,hard,easy,1,196.0
hue,1,red,right,hard,hard,2,203.0
hue,0,red,left,hard,hard,0,211.0
ori,0,green,left,easy,hard,3,217.0
hue,1,red,left,easy,hard,2,226.0
hue,0,red,left,hard,easy,6,234.0
ori,0,red,right,hard,hard,3,246.0
ori,0,red,left,hard,easy,0,255.0
hue,1,green,left,hard,hard,2,261.0
hue,1,red,right,easy,easy,0,269.0
hue,0,red,right,easy,easy,0,275.0
hue,0,red,right,hard,hard,1,281.0
hue,0,green,left,easy,hard,5,288.0
hue,0,green,right,hard,easy,2,299.0
hue,1,green,right,easy,easy,0,307.0
hue,1,green,right,easy,hard,0,313.0
hue,0,red,left,easy,easy,0,319.0
ori,0,green,right,easy,hard,0,325.0
ori,0,red,right,easy,easy,1,331.0
hue,0,red,left,easy,hard,2,338.0
ori,0,green,left,hard,easy,1,346.0
ori,1,red,right,hard,easy,2,353.0
ori,1,green,left,hard,easy,0,361.0
hue,1,red,left,easy,easy,1,367.0
ori,0,green,left,easy,easy,0,374.0
hue,1,green,right,hard,easy,4,380.0
ori,1,red,left,easy,easy,0,390.0
hue,0,green,right,hard,hard,0,396.0
ori,0,red,left,easy,easy,1,402.0
hue,0,green,left,hard,hard,3,409.0
hue,1,green,left,easy,hard,1,418.0
ori,1,red,right,hard,hard,1,425.0
ori,1,red,left,hard,hard,2,432.0
ori,0,red,right,easy,hard,4,440.0
ori,0,green,right,hard,hard,0,450.0
hue,1,red,left,hard,hard,0,456.0
hue,1,red,right,hard,easy,3,462.0
hue,0,green,right,easy,easy,4,471.0
hue,0,red,right,hard,easy,1,481.0
hue,1,green,left,hard,easy,1,488.0
ori,1,green,left,easy,hard,2,495.0
