context,cue_idx,hue,ori,hue_diff,ori_diff,iti_trs,trial_time_tr
hue,0,green,right,hard,easy,1,0.0
ori,0,red,right,easy,hard,0,7.0
hue,1,red,left,easy,hard,0,13.0
hue,1,green,right,easy,hard,5,19.0
hue,1,red,left,hard,easy,0,30.0
ori,0,green,left,easy,hard,0,36.0
hue,1,green,right,hard,hard,0,42.0
ori,1,red,left,hard,easy,1,48.0
hue,1,green,left,hard,hard,2,55.0
hue,1,red,left,hard,hard,1,63.0
ori,0,red,left,easy,easy,6,70.0
hue,1,red,right,easy,easy,1,82.0
hue,0,red,right,hard,hard,2,89.0
ori,1,green,right,hard,hard,2,97.0
ori,0,green,right,easy,easy,2,105.0
ori,0,red,left,easy,hard,0,113.0
hue,1,green,left,easy,hard,4,119.0
ori,1,red,right,easy,easy,1,129.0
hue,1,red,right,hard,easy,0,136.0
ori,0,green,left,hard,easy,0,142.0
hue,1,green,right,easy,easy,1,148.0
hue,1,green,right,hard,easy,3,155.0
ori,0,red,right,hard,hard,0,164.0
ori,0,red,right,easy,easy,1,170.0
ori,1,green,left,easy,easy,1,177.0
ori,1,green,right,easy,hard,2,184.0
hue,0,green,left,easy,easy,3,192.0
hue,0,red,right,hard,easy,0,201.0
hue,0,red,left,hard,hard,3,207.0
ori,0,green,left,easy,easy,5,216.0
ori,1,red,left,easy,hard,0,227.0
hue,0,red,right,easy,easy,7,233.0
ori,1,green,left,hard,easy,0,246.0
hue,1,red,left,easy,easy,0,252.0
hue,1,red,right,easy,hard,2,258.0
hue,0,red,left,hard,easy,9,266.0
hue,1,green,left,hard,easy,3,281.0
ori,0,green,right,easy,hard,6,290.0
hue,0,red,left,easy,hard,1,302.0
ori,0,green,right,hard,hard,0,309.0
hue,1,red,right,hard,hard,0,315.0
ori,1,green,right,hard,easy,1,321.0
ori,1,red,right,hard,hard,4,328.0
ori,1,green,right,easy,easy,0,338.0
ori,0,green,left,hard,hard,5,344.0
hue,0,green,left,easy,hard,1,355.0
hue,0,green,left,hard,easy,0,362.0
ori,0,red,left,hard,hard,2,368.0
ori,1,green,left,hard,hard,1,376.0
ori,1,red,left,hard,hard,0,383.0
hue,0,green,left,hard,hard,4,389.0
hue,0,green,right,easy,easy,0,399.0
hue,0,red,right,easy,hard,0,405.0
ori,1,green,left,easy,hard,2,411.0
hue,0,green,right,easy,hard,1,419.0
hue,0,green,right,hard,hard,3,426.0
hue,1,green,left,easy,easy,3,435.0
ori,0,green,right,hard,easy,0,444.0
ori,1,red,right,easy,hard,0,450.0
ori,0,red,left,hard,easy,8,456.0
ori,0,red,right,hard,easy,4,470.0
hue,0,red,left,easy,easy,2,480.0
ori,1,red,right,hard,easy,2,488.0
ori,1,red,left,easy,easy,1,496.0
