context,cue_idx,hue,ori,hue_diff,ori_diff,iti_trs,trial_time_tr
hue,0,red,right,hard,hard,3,0.0
hue,0,red,right,easy,hard,2,9.0
hue,0,green,left,easy,hard,0,17.0
hue,1,red,right,easy,hard,4,23.0
hue,1,green,left,easy,easy,4,33.0
ori,1,red,right,easy,hard,1,43.0
hue,0,red,left,hard,hard,2,50.0
ori,1,green,left,hard,hard,0,58.0
ori,0,green,left,easy,hard,1,64.0
ori,1,red,right,hard,hard,3,71.0
ori,1,green,right,hard,easy,2,80.0
ori,1,green,right,easy,hard,0,88.0
ori,0,green,right,easy,easy,1,94.0
hue,1,green,right,hard,easy,1,101.0
ori,0,green,right,easy,hard,0,108.0
ori,0,red,left,hard,hard,2,114.0
hue,0,red,right,easy,easy,0,122.0
ori,1,red,left,hard,hard,0,128.0
hue,0,red,left,easy,hard,1,134.0
hue,0,green,left,easy,easy,1,141.0
ori,0,green,left,hard,hard,0,148.0
hue,0,green,left,hard,easy,0,154.0
ori,1,green,left,easy,hard,2,160.0
hue,0,green,right,easy,hard,3,168.0
ori,1,green,left,easy,easy,4,177.0
hue,0,green,left,hard,hard,2,187.0
hue,0,green,right,easy,easy,1,195.0
hue,1,green,left,hard,easy,2,202.0
ori,1,green,left,hard,easy,0,210.0
hue,1,red,right,hard,hard,0,216.0
hue,1,green,right,easy,easy,5,222.0
ori,0,red,left,hard,easy,0,233.0
ori,0,green,right,hard,hard,2,239.0
hue,0,green,right,hard,hard,1,247.0
hue,1,red,right,easy,easy,0,254.0
hue,1,green,left,hard,hard,7,260.0
ori,0,green,right,hard,easy,1,273.0
hue,1,red,left,hard,easy,0,280.0
hue,0,red,left,hard,easy,0,286.0
ori,0,red,right,easy,easy,8,292.0
ori,0,red,left,easy,hard,1,306.0
ori,0,red,right,easy,hard,0,313.0
hue,1,red,left,hard,hard,5,319.0
hue,1,red,right,hard,easy,0,330.0
ori,1,green,right,hard,hard,1,336.0
ori,0,red,right,hard,hard,0,343.0
ori,0,green,left,easy,easy,0,349.0
hue,0,red,left,easy,easy,0,355.0
ori,1,red,left,easy,hard,6,361.0
hue,1,green,right,hard,hard,2,373.0
ori,1,red,left,easy,easy,4,381.0
ori,0,red,left,easy,easy,0,391.0
hue,1,green,right,easy,hard,2,397.0
ori,1,red,right,hard,easy,1,405.0
ori,0,red,right,hard,easy,6,412.0
ori,1,green,right,easy,easy,3,424.0
ori,1,red,left,hard,easy,9,433.0
hue,1,green,left,easy,hard,1,448.0
hue,0,green,right,hard,easy,1,455.0
ori,1,red,right,easy,easy,0,462.0
ori,0,green,left,hard,easy,3,468.0
hue,0,red,right,hard,easy,5,477.0
hue,1,red,left,easy,easy,3,488.0
hue,1,red,left,easy,hard,0,497.0
