context,cue_idx,hue,ori,hue_diff,ori_diff,iti_trs,trial_time_tr
ori,1,red,right,hard,easy,2,0.0
hue,0,red,left,easy,hard,3,8.0
ori,0,red,right,easy,easy,6,17.0
hue,0,green,right,hard,easy,2,29.0
ori,0,red,left,easy,hard,4,37.0
hue,1,red,left,hard,hard,9,47.0
ori,1,red,left,hard,easy,2,62.0
ori,1,red,right,easy,easy,1,70.0
ori,1,green,right,easy,hard,0,77.0
ori,0,green,right,hard,easy,5,83.0
hue,0,red,right,easy,hard,1,94.0
ori,1,green,left,easy,easy,0,101.0
ori,1,green,left,easy,hard,1,107.0
hue,1,green,left,easy,easy,4,114.0
hue,1,red,right,easy,easy,1,124.0
ori,0,green,right,easy,easy,1,131.0
ori,0,green,left,hard,hard,1,138.0
ori,1,red,left,hard,hard,1,145.0
hue,0,green,right,easy,hard,1,152.0
hue,1,green,left,hard,easy,5,159.0
ori,1,red,left,easy,easy,2,170.0
ori,0,green,left,easy,easy,0,178.0
hue,0,red,left,easy,easy,4,184.0
hue,0,green,left,easy,hard,0,194.0
hue,0,green,left,hard,hard,2,200.0
ori,1,green,right,hard,hard,3,208.0
hue,1,red,right,hard,easy,7,217.0
hue,1,red,right,hard,hard,1,230.0
hue,1,red,left,easy,easy,2,237.0
hue,0,green,right,hard,hard,0,245.0
hue,1,green,left,hard,hard,0,251.0
ori,0,red,right,hard,hard,6,257.0
ori,1,green,right,easy,easy,5,269.0
ori,0,green,right,hard,hard,0,280.0
ori,1,green,left,hard,easy,0,286.0
hue,1,green,right,easy,hard,0,292.0
ori,0,green,left,easy,hard,1,298.0
hue,1,green,right,hard,hard,0,305.0
hue,1,green,right,easy,easy,2,311.0
ori,0,red,right,hard,easy,0,319.0
hue,1,red,left,hard,easy,0,325.0
ori,0,green,right,easy,hard,0,331.0
ori,0,red,left,hard,easy,4,337.0
hue,0,green,right,easy,easy,1,347.0
ori,1,red,left,easy,hard,0,354.0
ori,1,green,right,hard,easy,3,360.0
ori,0,red,right,easy,hard,0,369.0
hue,0,green,left,hard,easy,3,375.0
hue,0,red,left,hard,easy,2,384.0
hue,1,red,right,easy,hard,1,392.0
hue,0,red,right,easy,easy,3,399.0
ori,0,red,left,easy,easy,8,408.0
hue,0,red,right,hard,easy,0,422.0
hue,1,green,right,hard,easy,0,428.0
hue,0,red,left,hard,hard,0,434.0
hue,1,green,left,easy,hard,3,440.0
hue,1,red,left,easy,hard,0,449.0
ori,1,red,right,hard,hard,0,455.0
ori,0,red,left,hard,hard,2,461.0
ori,1,green,left,hard,hard,2,469.0
ori,0,green,left,hard,easy,0,477.0
hue,0,green,left,easy,easy,1,483.0
hue,0,red,right,hard,hard,1,490.0
ori,1,red,right,easy,hard,0,497.0
