context,cue_idx,hue,ori,hue_diff,ori_diff,iti_trs,trial_time_tr
hue,1,green,right,easy,easy,0,0.0
ori,0,green,left,hard,easy,2,6.0
hue,1,red,left,easy,hard,1,14.0
ori,0,green,left,easy,hard,0,21.0
ori,1,red,right,hard,easy,3,27.0
hue,0,green,left,easy,easy,1,36.0
hue,0,green,right,hard,hard,1,43.0
ori,1,green,right,hard,easy,0,50.0
hue,0,red,left,hard,easy,2,56.0
hue,0,red,left,easy,easy,0,64.0
hue,0,green,right,hard,easy,0,70.0
ori,0,green,left,hard,hard,5,76.0
ori,1,green,left,easy,hard,5,87.0
ori,1,green,left,hard,easy,2,98.0
ori,0,green,right,hard,easy,1,106.0
ori,0,red,left,easy,hard,1,113.0
hue,0,red,right,hard,easy,0,120.0
ori,0,green,right,hard,hard,0,126.0
hue,1,green,right,easy,hard,2,132.0
hue,1,red,right,hard,hard,0,140.0
hue,1,red,left,hard,hard,0,146.0
hue,1,green,right,hard,easy,1,152.0
ori,1,red,left,easy,easy,2,159.0
hue,1,green,right,hard,hard,0,167.0
hue,1,green,left,hard,easy,1,173.0
ori,1,red,left,hard,easy,4,180.0
hue,0,green,left,easy,hard,2,190.0
ori,1,green,left,easy,easy,2,198.0
ori,0,red,right,hard,easy,1,206.0
ori,0,red,right,hard,hard,4,213.0
hue,1,red,right,hard,easy,1,223.0
hue,0,green,right,easy,easy,3,230.0
hue,1,red,right,easy,hard,8,239.0
ori,1,red,right,easy,hard,3,253.0
ori,0,red,left,easy,easy,0,262.0
hue,1,red,left,hard,easy,1,268.0
hue,0,red,right,easy,hard,3,275.0
ori,0,red,right,easy,easy,0,284.0
ori,0,green,right,easy,easy,0,290.0
ori,1,red,left,easy,hard,3,296.0
hue,0,red,right,hard,hard,4,305.0
hue,0,red,left,easy,hard,0,315.0
hue,0,green,right,easy,hard,6,321.0
ori,1,green,right,easy,easy,0,333.0
ori,1,green,right,easy,hard,1,339.0
hue,1,red,left,easy,easy,4,346.0
ori,1,red,right,hard,hard,6,356.0
hue,0,green,left,hard,hard,1,368.0
ori,0,red,right,easy,hard,0,375.0
hue,1,green,left,easy,hard,0,381.0
ori,0,red,left,hard,easy,9,387.0
ori,0,green,right,easy,hard,1,402.0
hue,1,green,left,easy,easy,5,409.0
ori,1,red,right,easy,easy,0,420.0
hue,1,red,right,easy,easy,2,426.0
ori,1,green,right,hard,hard,0,434.0
ori,0,red,left,hard,hard,2,440.0
ori,0,green,left,easy,easy,1,448.0
ori,1,green,left,hard,hard,0,455.0
ori,1,red,left,hard,hard,0,461.0
hue,0,red,left,hard,hard,7,467.0
hue,0,red,right,easy,easy,3,480.0
hue,0,green,left,hard,easy,2,489.0
hue,1,green,left,hard,hard,0,497.0
