context,cue_idx,hue,ori,hue_diff,ori_diff,iti_trs,trial_time_tr
hue,1,red,left,hard,easy,0,0.0
hue,1,green,left,hard,easy,2,6.0
hue,1,green,right,hard,hard,1,14.0
ori,0,red,left,hard,hard,1,21.0
hue,0,green,right,easy,hard,1,28.0
hue,1,green,left,easy,hard,9,35.0
ori,0,red,left,hard,easy,1,50.0
ori,1,green,left,hard,easy,0,57.0
ori,1,red,left,hard,easy,4,63.0
ori,0,green,right,easy,hard,0,73.0
ori,0,green,right,hard,hard,3,79.0
ori,0,green,right,hard,easy,3,88.0
hue,1,red,right,easy,hard,1,97.0
ori,1,red,left,hard,hard,0,104.0
hue,0,red,right,hard,hard,7,110.0
ori,1,red,right,easy,easy,0,123.0
hue,0,green,right,hard,easy,1,129.0
hue,0,green,right,hard,hard,0,136.0
hue,0,red,right,easy,easy,2,142.0
hue,0,red,left,easy,hard,1,150.0
hue,0,red,left,hard,hard,0,157.0
ori,0,red,right,hard,hard,0,163.0
ori,1,green,left,hard,hard,3,169.0
hue,0,red,left,hard,easy,0,178.0
hue,1,red,right,easy,easy,6,184.0
ori,0,red,right,hard,easy,3,196.0
ori,0,green,left,hard,hard,2,205.0
ori,0,red,right,easy,easy,0,213.0
ori,1,green,left,easy,hard,5,219.0
ori,1,green,right,hard,easy,2,230.0
hue,1,green,right,easy,easy,3,238.0
hue,1,green,right,hard,easy,4,247.0
hue,1,red,left,hard,hard,0,257.0
ori,0,red,left,easy,easy,1,263.0
ori,1,green,right,easy,hard,1,270.0
ori,0,red,right,easy,hard,0,277.0
hue,1,red,right,hard,easy,0,283.0
ori,0,red,left,easy,hard,0,289.0
ori,0,green,left,easy,hard,0,295.0
hue,0,green,left,hard,hard,0,301.0
hue,0,green,right,easy,easy,1,307.0
ori,1,red,left,easy,easy,2,314.0
ori,0,green,left,easy,easy,0,322.0
hue,1,green,left,easy,easy,0,328.0
ori,0,green,right,easy,easy,2,334.0
hue,0,green,left,easy,hard,2,342.0
ori,1,red,right,hard,easy,2,350.0
hue,1,red,right,hard,hard,1,358.0
ori,1,red,right,hard,hard,5,365.0
ori,1,green,left,easy,easy,3,376.0
hue,1,green,left,hard,hard,6,385.0
hue,0,red,right,hard,easy,0,397.0
hue,0,red,right,easy,hard,5,403.0
ori,1,green,right,hard,hard,1,414.0
hue,1,green,right,easy,hard,4,421.0
ori,1,red,left,easy,hard,4,431.0
hue,0,red,left,easy,easy,0,441.0
hue,1,red,left,easy,easy,0,447.0
ori,0,green,left,hard,easy,2,453.0
ori,1,red,right,easy,hard,8,461.0
hue,0,green,left,easy,easy,2,475.0
ori,1,green,right,easy,easy,1,483.0
hue,1,red,left,easy,hard,1,490.0
hue,0,green,left,hard,easy,0,497.0
