context,cue_idx,hue,ori,hue_diff,ori_diff,iti_trs,trial_time_tr
ori,1,green,right,hard,hard,0,0.0
hue,1,green,right,hard,easy,1,6.0
ori,1,red,right,easy,hard,3,13.0
ori,1,green,right,easy,easy,5,22.0
ori,0,red,left,easy,easy,2,33.0
hue,0,red,right,easy,hard,0,41.0
ori,0,red,right,easy,easy,0,47.0
ori,1,green,left,hard,easy,9,53.0
ori,0,green,right,easy,hard,8,68.0
hue,1,red,right,hard,hard,5,82.0
ori,0,green,left,easy,easy,0,93.0
ori,0,red,left,easy,hard,3,99.0
hue,1,red,right,easy,hard,0,108.0
hue,0,red,left,hard,hard,0,114.0
hue,0,red,right,easy,easy,1,120.0
ori,1,green,right,easy,hard,1,127.0
ori,1,red,right,easy,easy,4,134.0
ori,0,green,left,hard,hard,1,144.0
hue,1,red,right,easy,easy,6,151.0
hue,0,red,left,easy,easy,0,163.0
hue,1,green,right,easy,hard,0,169.0
ori,1,red,left,hard,hard,7,175.0
hue,0,red,left,hard,easy,0,188.0
ori,0,green,left,hard,easy,1,194.0
ori,1,green,left,easy,easy,2,201.0
hue,1,red,left,hard,hard,0,209.0
hue,1,red,left,easy,hard,1,215.0
hue,1,green,left,easy,hard,1,222.0
hue,1,red,left,easy,easy,4,229.0
ori,0,red,right,hard,easy,3,239.0
hue,0,red,right,hard,hard,6,248.0
ori,1,green,left,hard,hard,1,260.0
hue,1,green,right,easy,easy,2,267.0
hue,0,green,left,hard,hard,1,275.0
ori,1,red,left,easy,hard,0,282.0
hue,1,green,left,hard,hard,3,288.0
hue,0,green,left,easy,hard,2,297.0
ori,0,red,left,hard,hard,0,305.0
ori,0,red,right,easy,hard,0,311.0
ori,0,green,right,easy,easy,1,317.0
ori,0,green,right,hard,easy,1,324.0
ori,0,green,right,hard,hard,0,331.0
hue,0,green,right,hard,hard,0,337.0
ori,0,red,left,hard,easy,0,343.0
hue,0,green,left,easy,easy,2,349.0
ori,1,red,right,hard,hard,3,357.0
hue,0,red,left,easy,hard,3,366.0
hue,0,green,left,hard,easy,1,375.0
hue,1,green,right,hard,hard,1,382.0
hue,1,green,left,hard,easy,0,389.0
ori,1,green,right,hard,easy,0,395.0
hue,1,red,right,hard,easy,1,401.0
ori,1,red,right,hard,easy,2,408.0
ori,1,red,left,easy,easy,0,416.0
ori,0,green,left,easy,hard,0,422.0
hue,1,green,left,easy,easy,2,428.0
hue,0,red,right,hard,easy,4,436.0
ori,1,green,left,easy,hard,2,446.0
ori,0,red,right,hard,hard,2,454.0
ori,1,red,left,hard,easy,5,462.0
hue,0,green,right,easy,hard,0,473.0
hue,0,green,right,easy,easy,4,479.0
hue,0,green,right,hard,easy,2,489.0
hue,1,red,left,hard,easy,0,497.0
