context,cue_idx,hue,ori,hue_diff,ori_diff,iti_trs,trial_time_tr
hue,0,green,left,hard,hard,0,0.0
hue,1,red,right,easy,hard,3,6.0
ori,1,red,left,easy,easy,0,15.0
hue,1,red,left,easy,easy,4,21.0
hue,0,red,left,easy,easy,0,31.0
ori,0,green,left,hard,easy,5,37.0
hue,0,green,left,hard,easy,0,48.0
ori,0,green,left,easy,hard,4,54.0
ori,0,green,right,hard,hard,3,64.0
hue,0,red,right,hard,easy,0,73.0
ori,0,green,left,hard,hard,0,79.0
ori,0,green,left,easy,easy,0,85.0
hue,0,green,left,easy,easy,4,91.0
hue,0,green,right,easy,hard,1,101.0
hue,1,green,left,hard,easy,0,108.0
hue,0,green,right,hard,easy,1,114.0
hue,1,red,right,hard,hard,5,121.0
ori,0,green,right,easy,easy,1,132.0
hue,0,red,left,easy,hard,3,139.0
ori,0,red,left,easy,hard,2,148.0
ori,1,green,right,hard,hard,6,156.0
ori,0,green,right,easy,hard,6,168.0
hue,1,red,left,hard,hard,2,180.0
hue,1,red,right,easy,easy,0,188.0
ori,1,green,right,hard,easy,1,194.0
ori,0,red,right,easy,hard,0,201.0
hue,0,red,right,hard,hard,3,207.0
hue,1,red,left,hard,easy,1,216.0
hue,0,red,left,hard,easy,2,223.0
hue,1,green,right,hard,hard,8,231.0
ori,1,green,left,easy,easy,2,245.0
hue,0,red,right,easy,hard,2,253.0
ori,1,green,left,easy,hard,1,261.0
ori,0,red,right,easy,easy,1,268.0
ori,0,red,left,easy,easy,2,275.0
hue,0,green,left,easy,hard,2,283.0
hue,1,red,left,easy,hard,0,291.0
hue,1,green,left,hard,hard,1,297.0
hue,1,green,right,easy,hard,7,304.0
hue,1,green,left,easy,easy,1,317.0
ori,1,red,left,hard,easy,0,324.0
hue,0,red,right,easy,easy,0,330.0
ori,1,green,right,easy,hard,0,336.0
hue,0,green,right,easy,easy,0,342.0
hue,0,red,left,hard,hard,0,348.0
ori,1,red,right,easy,easy,3,354.0
ori,1,green,left,hard,easy,0,363.0
hue,1,red,right,hard,easy,1,369.0
ori,0,red,right,hard,hard,9,376.0
ori,1,green,right,easy,easy,0,391.0
ori,0,red,left,hard,hard,2,397.0
ori,1,green,left,hard,hard,3,405.0
ori,0,green,right,hard,easy,0,414.0
ori,1,red,right,hard,hard,0,420.0
ori,0,red,right,hard,easy,5,426.0
hue,1,green,right,hard,easy,1,437.0
ori,1,red,left,hard,hard,1,444.0
ori,1,red,right,easy,hard,1,451.0
hue,1,green,right,easy,easy,2,458.0
ori,1,red,right,hard,easy,2,466.0
hue,1,green,left,easy,hard,4,474.0
hue,0,green,right,hard,hard,0,484.0
ori,1,red,left,easy,hard,0,490.0
ori,0,red,left,hard,easy,1,496.0
