context,cue_idx,hue,ori,hue_diff,ori_diff,iti_trs,trial_time_tr
ori,1,green,right,hard,hard,0,0.0
ori,0,green,right,hard,easy,5,6.0
hue,1,green,left,easy,hard,2,17.0
ori,0,green,right,hard,hard,2,25.0
hue,0,green,left,easy,hard,1,33.0
ori,0,green,right,easy,hard,0,40.0
hue,1,red,left,easy,easy,6,46.0
hue,1,red,right,hard,easy,0,58.0
ori,1,red,left,easy,easy,3,64.0
ori,1,green,right,easy,hard,0,73.0
ori,0,red,left,hard,easy,0,79.0
hue,0,green,right,easy,hard,1,85.0
hue,0,green,left,easy,easy,4,92.0
ori,1,red,left,easy,hard,2,102.0
hue,0,red,right,easy,hard,0,110.0
hue,0,green,right,easy,easy,0,116.0
hue,1,green,right,hard,easy,1,122.0
ori,1,green,left,hard,hard,0,129.0
hue,1,green,left,easy,easy,0,135.0
hue,1,red,left,hard,hard,0,141.0
ori,1,red,right,easy,hard,2,147.0
hue,0,red,right,easy,easy,1,155.0
hue,0,green,right,hard,hard,3,162.0
ori,1,red,right,hard,hard,5,171.0
hue,1,red,left,easy,hard,0,182.0
ori,0,green,left,hard,hard,3,188.0
hue,1,red,right,hard,hard,3,197.0
hue,1,red,right,easy,hard,2,206.0
hue,0,green,left,hard,easy,0,214.0
hue,0,red,left,easy,easy,4,220.0
hue,0,red,left,easy,hard,0,230.0
hue,1,green,right,hard,hard,1,236.0
hue,0,red,left,hard,hard,6,243.0
ori,1,green,left,hard,easy,5,255.0
hue,1,green,left,hard,hard,0,266.0
ori,0,red,left,hard,hard,0,272.0
ori,1,green,left,easy,hard,2,278.0
ori,1,red,left,hard,hard,4,286.0
ori,0,green,left,easy,easy,0,296.0
hue,0,red,right,hard,easy,0,302.0
ori,0,red,right,hard,hard,1,308.0
ori,1,green,right,hard,easy,1,315.0
hue,1,red,left,hard,easy,0,322.0
ori,0,red,left,easy,hard,1,328.0
ori,1,green,left,easy,easy,1,335.0
ori,1,red,right,hard,easy,8,342.0
hue,1,green,right,easy,easy,1,356.0
hue,0,green,left,hard,hard,0,363.0
ori,0,green,right,easy,easy,2,369.0
ori,0,red,left,easy,easy,1,377.0
hue,0,green,right,hard,easy,9,384.0
hue,1,green,left,hard,easy,3,399.0
ori,0,green,left,easy,hard,0,408.0
hue,1,green,right,easy,hard,2,414.0
ori,1,green,right,easy,easy,0,422.0
ori,0,red,right,easy,easy,0,428.0
ori,0,red,right,hard,easy,4,434.0
ori,1,red,right,easy,easy,1,444.0
hue,0,red,left,hard,easy,1,451.0
hue,0,red,right,hard,hard,7,458.0
hue,1,red,right,easy,easy,2,471.0
ori,0,red,right,easy,hard,3,479.0
ori,0,green,left,hard,easy,1,488.0
ori,1,red,left,hard,easy,2,495.0
