context,cue_idx,hue,ori,hue_diff,ori_diff,iti_trs,trial_time_tr
hue,0,green,right,hard,hard,1,0.0
ori,0,green,left,easy,hard,3,7.0
ori,0,green,left,hard,hard,1,16.0
hue,1,green,right,hard,hard,3,23.0
hue,0,green,left,easy,easy,3,32.0
ori,1,red,right,easy,hard,4,41.0
hue,1,green,left,easy,hard,2,51.0
hue,0,red,left,easy,hard,0,59.0
hue,0,red,right,hard,easy,2,65.0
ori,0,green,right,hard,hard,0,73.0
ori,1,green,left,easy,easy,2,79.0
hue,1,red,right,hard,easy,1,87.0
ori,0,red,left,hard,easy,0,94.0
ori,0,red,right,easy,hard,6,100.0
ori,1,green,left,easy,hard,5,112.0
hue,1,red,left,hard,hard,0,123.0
ori,0,red,left,easy,hard,3,129.0
hue,1,red,right,hard,hard,4,138.0
hue,1,green,right,hard,easy,8,148.0
hue,1,green,left,easy,easy,0,162.0
hue,0,green,left,hard,hard,0,168.0
hue,0,green,left,hard,easy,2,174.0
ori,1,red,left,hard,easy,1,182.0
ori,0,green,right,easy,easy,1,189.0
hue,0,red,left,hard,hard,1,196.0
ori,0,red,right,easy,easy,0,203.0
ori,0,green,left,easy,easy,0,209.0
hue,0,green,left,easy,hard,5,215.0
hue,1,red,right,easy,easy,0,226.0
hue,0,green,right,hard,easy,0,232.0
ori,1,green,right,hard,hard,4,238.0
hue,1,green,left,hard,hard,2,248.0
hue,1,red,left,easy,hard,2,256.0
hue,0,green,right,easy,easy,9,264.0
ori,0,green,right,hard,easy,1,279.0
ori,1,green,right,hard,easy,0,286.0
ori,0,green,right,easy,hard,3,292.0
hue,0,red,right,hard,hard,0,301.0
ori,1,red,right,hard,easy,0,307.0
hue,1,red,left,hard,easy,2,313.0
ori,1,red,left,easy,hard,0,321.0
ori,1,green,right,easy,easy,1,327.0
ori,0,red,right,hard,easy,0,334.0
hue,1,red,right,easy,hard,0,340.0
ori,1,green,right,easy,hard,2,346.0
ori,1,red,left,hard,hard,4,354.0
ori,0,red,left,hard,hard,6,364.0
ori,0,green,left,hard,easy,0,376.0
hue,1,green,left,hard,easy,0,382.0
hue,0,red,right,easy,hard,3,388.0
ori,0,red,left,easy,easy,0,397.0
hue,1,green,right,easy,hard,1,403.0
hue,0,red,left,hard,easy,5,410.0
ori,1,red,right,hard,hard,0,421.0
ori,1,green,left,hard,easy,0,427.0
ori,1,green,left,hard,hard,2,433.0
hue,0,red,left,easy,easy,1,441.0
hue,1,red,left,easy,easy,0,448.0
ori,0,red,right,hard,hard,1,454.0
hue,0,green,right,easy,hard,2,461.0
ori,1,red,right,easy,easy,1,469.0
ori,1,red,left,easy,easy,7,476.0
hue,1,green,right,easy,easy,1,489.0
hue,0,red,right,easy,easy,1,496.0
