context,cue_idx,hue,ori,hue_diff,ori_diff,iti_trs,trial_time_tr
hue,1,green,left,hard,easy,1,0.0
hue,0,green,left,easy,hard,0,7.0
ori,0,red,left,hard,hard,0,13.0
ori,1,red,right,easy,easy,1,19.0
hue,0,green,right,easy,easy,2,26.0
hue,1,red,left,hard,easy,4,34.0
hue,0,red,left,hard,easy,0,44.0
hue,0,red,right,hard,hard,1,50.0
ori,0,red,left,easy,hard,7,57.0
hue,1,red,right,easy,hard,1,70.0
ori,1,green,left,easy,easy,0,77.0
hue,0,red,right,hard,easy,0,83.0
ori,1,red,right,hard,easy,0,89.0
ori,1,red,left,easy,hard,1,95.0
hue,1,green,right,hard,easy,1,102.0
hue,1,green,right,easy,easy,0,109.0
hue,0,red,right,easy,hard,1,115.0
hue,0,red,left,easy,easy,2,122.0
ori,0,red,right,hard,hard,2,130.0
hue,1,red,right,easy,easy,2,138.0
hue,1,red,left,hard,hard,0,146.0
ori,1,green,right,easy,hard,0,152.0
ori,1,red,left,hard,hard,3,158.0
hue,1,red,left,easy,hard,0,167.0
ori,1,green,right,hard,hard,4,173.0
ori,1,green,left,hard,easy,0,183.0
hue,1,green,right,hard,hard,0,189.0
hue,0,red,left,easy,hard,5,195.0
ori,0,green,left,easy,easy,1,206.0
ori,1,green,left,easy,hard,0,213.0
ori,1,red,right,easy,hard,0,219.0
ori,0,red,left,easy,easy,5,225.0
ori,0,red,right,hard,easy,1,236.0
ori,1,green,right,hard,easy,0,243.0
hue,1,red,right,hard,easy,3,249.0
ori,0,green,left,hard,hard,3,258.0
ori,0,red,right,easy,hard,8,267.0
hue,1,red,right,hard,hard,1,281.0
hue,0,green,right,hard,easy,5,288.0
hue,0,red,right,easy,easy,1,299.0
ori,1,green,right,easy,easy,1,306.0
hue,1,red,left,easy,easy,4,313.0
hue,0,green,left,hard,easy,3,323.0
hue,1,green,left,easy,hard,6,332.0
ori,0,red,right,easy,easy,9,344.0
ori,1,green,left,hard,hard,3,359.0
hue,0,green,right,hard,hard,0,368.0
hue,0,green,left,easy,easy,2,374.0
ori,1,red,right,hard,hard,1,382.0
ori,0,green,right,hard,hard,2,389.0
ori,0,green,right,hard,easy,1,397.0
hue,1,green,left,easy,easy,3,404.0
ori,1,red,left,easy,easy,0,413.0
hue,0,red,left,hard,hard,2,419.0
ori,0,green,left,easy,hard,0,427.0
ori,1,red,left,hard,easy,6,433.0
hue,1,green,left,hard,hard,0,445.0
ori,0,green,left,hard,easy,2,451.0
ori,0,red,left,hard,easy,2,459.0
hue,0,green,right,easy,hard,0,467.0
ori,0,green,right,easy,hard,0,473.0
hue,1,green,right,easy,hard,4,479.0
ori,0,green,right,easy,easy,2,489.0
hue,0,green,left,hard,hard,0,497.0
