context,cue_idx,hue,ori,hue_diff,ori_diff,iti_trs,trial_time_tr
hue,0,red,left,hard,easy,0,0.0
ori,1,red,left,easy,hard,0,6.0
hue,0,red,right,easy,hard,6,12.0
ori,1,green,right,hard,easy,0,24.0
ori,1,green,left,easy,hard,3,30.0
hue,0,green,right,easy,easy,0,39.0
ori,1,green,left,easy,easy,3,45.0
hue,1,red,left,easy,easy,2,54.0
hue,0,green,left,hard,easy,5,62.0
ori,1,green,right,easy,easy,0,73.0
ori,0,green,left,hard,easy,0,79.0
hue,0,red,left,easy,easy,0,85.0
hue,0,green,right,hard,easy,6,91.0
ori,1,red,left,hard,hard,1,103.0
hue,1,red,right,hard,easy,4,110.0
ori,1,red,left,hard,easy,0,120.0
hue,1,red,left,hard,easy,0,126.0
ori,0,green,right,hard,easy,2,132.0
hue,1,green,left,easy,hard,2,140.0
ori,0,green,right,easy,hard,0,148.0
ori,0,red,left,hard,easy,1,154.0
ori,1,red,left,easy,easy,2,161.0
hue,0,green,left,hard,hard,0,169.0
hue,1,red,left,hard,hard,0,175.0
ori,0,green,left,easy,hard,4,181.0
hue,0,red,left,hard,hard,0,191.0
ori,0,red,left,easy,easy,5,197.0
ori,1,green,right,hard,hard,1,208.0
ori,0,green,right,hard,hard,0,215.0
ori,0,red,left,easy,hard,1,221.0
hue,1,red,right,easy,easy,2,228.0
hue,1,red,right,easy,hard,0,236.0
ori,0,red,right,easy,easy,2,242.0
hue,0,red,right,hard,easy,4,250.0
hue,0,green,right,easy,hard,0,260.0
hue,0,red,left,easy,hard,1,266.0
hue,1,green,right,easy,hard,1,273.0
hue,0,red,right,easy,easy,1,280.0
ori,1,green,left,hard,hard,5,287.0
ori,1,red,right,easy,hard,0,298.0
ori,0,red,left,hard,hard,7,304.0
ori,0,red,right,hard,easy,2,317.0
ori,0,red,right,easy,hard,1,325.0
hue,0,green,left,easy,hard,3,332.0
hue,0,green,left,easy,easy,0,341.0
hue,1,red,right,hard,hard,0,347.0
hue,1,green,left,easy,easy,0,353.0
hue,0,green,right,hard,hard,3,359.0
ori,0,green,right,easy,easy,1,368.0
hue,1,green,right,easy,easy,1,375.0
hue,1,red,left,easy,hard,2,382.0
ori,1,green,right,easy,hard,1,390.0
ori,1,red,right,hard,hard,9,397.0
hue,1,green,right,hard,easy,1,412.0
hue,1,green,right,hard,hard,3,419.0
ori,0,red,right,hard,hard,3,428.0
ori,0,green,left,easy,easy,0,437.0
ori,0,green,left,hard,hard,2,443.0
ori,1,red,right,easy,easy,1,451.0
ori,1,red,right,hard,easy,0,458.0
hue,0,red,right,hard,hard,2,464.0
ori,1,green,left,hard,easy,8,472.0
hue,1,green,left,hard,hard,4,486.0
hue,1,green,left,hard,easy,1,496.0
